Title,Genre,Premiere,Runtime,IMDB Score,Language,Day Released
Otherhood,Comedy,8/2/2019,100,6.1,English,Friday
Pee-wee's Big Holiday,Adventure,3/18/2016,89,6.1,English,Friday
Rogue City,Crime drama,10/30/2020,116,6.1,French,Friday
Sergio,Biopic,4/17/2020,118,6.1,English,Friday
Stuck Apart,Drama,1/8/2021,96,6.1,Turkish,Friday
Tersanjung the Movie,Drama,4/1/2021,114,6.1,Indonesian,Thursday
The Killer,Western,11/10/2017,99,6.1,Portuguese,Friday
The Lovebirds,Romantic comedy,5/22/2020,87,6.1,English,Friday
The Most Hated Woman in America,Biopic,3/24/2017,92,6.1,English,Friday
The Perfection,Horror-thriller,5/24/2019,90,6.1,English,Friday
Tribhanga – Tedhi Medhi Crazy,Drama,1/15/2021,95,6.1,Hindi,Friday
Unknown Origins,Thriller,8/28/2020,96,6.1,Spanish,Friday
Work It,Dance comedy,8/7/2020,93,6.1,English,Friday
Alien Xmas,Stop Motion,11/20/2020,42,6.2,English,Friday
Baggio: The Divine Ponytail,Biopic,5/26/2021,92,6.2,Italian,Wednesday
Below Zero,Drama,1/29/2021,106,6.2,Spanish,Friday
Citation,Drama,11/6/2020,151,6.2,English,Friday
Crazy Awesome Teachers,Comedy-drama,8/17/2020,101,6.2,Indonesian,Monday
Have You Ever Seen Fireflies?,Comedy,4/9/2021,114,6.2,Turkish,Friday
High Flying Bird,Sports-drama,2/8/2019,90,6.2,English,Friday
In the Shadow of the Moon,Thriller,9/27/2019,115,6.2,English,Friday
Lost Bullet,Thriller,6/19/2020,92,6.2,French,Friday
Octonauts & the Caves of Sac Actun,Animation,8/14/2020,72,6.2,English,Friday
Offering to the Storm,Thriller,7/24/2020,139,6.2,Spanish,Friday
Roxanne Roxanne,Biopic,3/23/2018,98,6.2,English,Friday
Someone Great,Romantic comedy,4/19/2019,92,6.2,English,Friday
Spenser Confidential,Action comedy,3/6/2020,111,6.2,English,Friday
The Land of Steady Habits,Drama,9/14/2018,98,6.2,English,Friday
The Rachel Divide,Documentary,4/27/2018,104,6.2,English,Friday
Voyuer ,Documentary,12/1/2017,95,6.2,English,Friday
Win It All,Comedy,4/7/2017,88,6.2,English,Friday
A Tale of Two Kitchens,Documentary,5/22/2019,30,6.3,English/Spanish,Wednesday
Alex Strangelove,Romantic comedy,6/8/2018,99,6.3,English,Friday
Apostle,Horror-thriller,10/12/2018,129,6.3,English,Friday
Benji,Family film,3/16/2018,87,6.3,English,Friday
Bright,Urban fantasy,12/22/2017,117,6.3,English,Friday
Cargo,Drama/Horror,5/18/2018,104,6.3,English,Friday
Concrete Cowboy,Drama,4/2/2021,111,6.3,English,Friday
Feel the Beat,Family/Comedy-drama,6/19/2020,107,6.3,English,Friday
Get the Goat,Comedy,3/18/2021,97,6.3,Portuguese,Thursday
I Am Not an Easy Man,Romantic comedy,4/13/2018,98,6.3,French,Friday
June & Kopi,Drama,1/28/2021,90,6.3,Indonesian,Thursday
Music Teacher,Drama,4/19/2019,101,6.3,Hindi,Friday
Nail Bomber: Manhunt,Documentary,5/26/2021,72,6.3,English,Wednesday
Notes for My Son,Drama,11/24/2020,83,6.3,Spanish,Tuesday
Polar,Action,1/25/2019,118,6.3,English,Friday
Porta dos Fundos: The Last Hangover,Comedy,12/21/2018,44,6.3,Portuguese,Friday
Sand Castle,War,4/21/2017,113,6.3,English,Friday
Shimmer Lake,Crime thriller,6/9/2017,86,6.3,English,Friday
Spectral,Science fiction/Action,12/9/2016,108,6.3,English,Friday
The Babysitter,Teen comedy horror,10/13/2017,85,6.3,English,Friday
The Discovery,Science fiction/Drama,3/31/2017,102,6.3,English,Friday
The Forest of Love,Drama,10/11/2019,151,6.3,Japanese,Friday
The Laundromat,Comedy-drama,10/18/2019,98,6.3,English,Friday
The Legend of Cocaine Island,Documentary,3/29/2019,87,6.3,English,Friday
The Outsider,Crime drama,3/9/2018,120,6.3,English/Japanese,Friday
Time to Hunt,Thriller,4/23/2020,134,6.3,Korean,Thursday
To All the Boys: Always and Forever,Romantic comedy,2/12/2021,109,6.3,English,Friday
Travis Scott: Look Mom I Can Fly,Documentary,8/28/2019,85,6.3,English,Wednesday
Uncorked,Drama,3/27/2020,103,6.3,English,Friday
Anelka: Misunderstood,Documentary,8/5/2020,94,6.4,French,Wednesday
"Ariana Grande: Excuse Me, I Love You",Concert Film,12/21/2020,97,6.4,English,Monday
ARQ,Science fiction/Thriller,9/16/2016,88,6.4,English,Friday
Birders,Documentary,9/25/2019,37,6.4,English/Spanish,Wednesday
Como Caído del Cielo,Musical comedy,12/24/2019,112,6.4,Spanish,Tuesday
First Match,Sports-drama,3/30/2018,102,6.4,English,Friday
Fractured,Thriller,10/11/2019,100,6.4,English,Friday
Irreplaceable You,Drama,2/16/2018,96,6.4,English,Friday
Isi & Ossi,Romantic comedy,2/14/2020,113,6.4,German,Friday
John Was Trying to Contact Aliens,Documentary,8/20/2020,16,6.4,English,Thursday
Layla Majnun,Romantic drama,2/11/2021,119,6.4,Indonesian,Thursday
Murder to Mercy: The Cyntoia Brown Story,Documentary,4/29/2020,97,6.4,English,Wednesday
My Own Man,Documentary,12/13/2014,81,6.4,English,Saturday
Nappily Ever After,Comedy-drama,9/21/2018,98,6.4,English,Friday
Over the Moon,Animation/Musical/Adventure,10/23/2020,95,6.4,English,Friday
Street Flow,Drama,10/12/2019,96,6.4,French,Saturday
Strong Island,Documentary,9/15/2017,107,6.4,English,Friday
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,9/27/2019,41,6.4,English,Friday
Take Your Pills,Documentary,3/16/2018,87,6.4,English,Friday
The Heartbreak Club,Comedy-drama,1/14/2021,101,6.4,Indonesian,Thursday
The Mars Generation,Documentary,5/5/2017,97,6.4,English,Friday
The Occupant,Thriller,3/25/2020,103,6.4,Spanish,Wednesday
The Willoughbys,Animation/Comedy/Adventure,4/22/2020,90,6.4,English,Wednesday
Triple Frontier,Action-thriller,3/13/2019,125,6.4,English,Wednesday
Two Catalonias,Documentary,9/28/2018,116,6.4,Spanish/Catalan,Friday
Walk. Ride. Rodeo.,Drama,3/8/2019,99,6.4,English,Friday
Wheelman,Action thriller,10/20/2017,82,6.4,English,Friday
When We First Met,Romantic comedy,2/9/2018,97,6.4,English,Friday
A 3 Minute Hug,Documentary,10/28/2019,28,6.5,English/Spanish,Monday
All the Bright Places,Romance,2/28/2020,108,6.5,English,Friday
All Together Now,Drama,8/28/2020,93,6.5,English,Friday
Altered Carbon: Resleeved,Anime/Science fiction,3/19/2020,74,6.5,Japanese,Thursday
Antoine Griezmann: The Making of a Legend,Documentary,3/21/2019,60,6.5,French,Thursday
Canvas ,Animation / Short,12/11/2020,9,6.5,English,Friday
Chadwick Boseman: Portrait of an Artist,Documentary,4/17/2021,21,6.5,English,Saturday
Chopsticks,Comedy,5/31/2019,100,6.5,Hindi,Friday
Da 5 Bloods,War drama,6/12/2020,155,6.5,English,Friday
Dolly Parton: A MusiCares Tribute,Documentary,4/7/2021,55,6.5,English,Wednesday
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,6/26/2020,123,6.5,English,Friday
Gerald's Game,Horror thriller,9/29/2017,103,6.5,English,Friday
His House,Thriller,10/30/2020,93,6.5,English,Friday
Jingle Jangle: A Christmas Journey,Family/Christmas musical,11/13/2020,119,6.5,English,Friday
Life Overtakes Me,Documentary,6/14/2019,40,6.5,English/Swedish,Friday
Lust Stories,Drama,6/15/2018,120,6.5,Hindi,Friday
Monster,Drama,5/7/2021,98,6.5,English,Friday
Mowgli: Legend of the Jungle,Adventure,12/7/2018,104,6.5,English,Friday
Nobody Knows I'm Here,Drama,6/24/2020,91,6.5,Spanish,Wednesday
Nobody Speak: Trials of the Free Press,Documentary,6/23/2017,95,6.5,English,Friday
Oxygen,Science fiction thriller,5/12/2021,101,6.5,French,Wednesday
Set It Up,Romantic comedy,6/15/2018,105,6.5,English,Friday
The Incredible Jessica James,Comedy,7/28/2017,83,6.5,English,Friday
Tigertail,Drama,4/10/2020,91,6.5,English/Taiwanese/Mandarin,Friday
Tramps,Romance,4/21/2017,83,6.5,English,Friday
What Did Jack Do?,Drama / Short,1/20/2020,17,6.5,English,Monday
Bad Trip,Hidden-camera prank comedy,3/26/2021,86,6.6,English,Friday
Bird Box,Psychological thriller,12/21/2018,124,6.6,English,Friday
Bulbbul,Horror,6/24/2020,94,6.6,Hindi,Wednesday
Crazy About Her,Romantic comedy,2/26/2021,102,6.6,Spanish,Friday
Elisa & Marcela,Romance,6/7/2019,118,6.6,Spanish,Friday
I'll Sleep When I'm Dead,Documentary,8/19/2016,79,6.6,English,Friday
I'm Thinking of Ending Things,Psychological thriller,9/4/2020,134,6.6,English,Friday
It Takes a Lunatic,Documentary,10/25/2019,126,6.6,English,Friday
Milestone,Drama,5/7/2021,98,6.6,Hindi,Friday
Recovery Boys,Documentary,6/29/2018,89,6.6,English,Friday
ReMastered: Who Killed Jam Master Jay?,Documentary,12/7/2018,58,6.6,English,Friday
Shawn Mendes: In Wonder,Documentary,11/23/2020,83,6.6,English,Monday
Space Sweepers,Science fiction,2/5/2021,136,6.6,Korean,Friday
The American Meme,Documentary,12/7/2018,98,6.6,English,Friday
The Angel,Spy thriller,9/14/2018,114,6.6,English,Friday
The Crimes That Bind,Crime drama,8/20/2020,99,6.6,Spanish,Thursday
The Red Sea Diving Resort,Spy thriller,7/31/2019,130,6.6,English,Wednesday
What Would Sophia Loren Do?,Documentary,1/15/2021,32,6.6,English,Friday
A Whisker Away,Anime/Fantasy,6/18/2020,104,6.7,Japanese,Thursday
Ajeeb Daastaans,Drama,4/16/2021,142,6.7,Hindi,Friday
Arlo the Alligator Boy,Animated musical comedy,4/16/2021,92,6.7,English,Friday
"Bikram: Yogi, Guru, Predator",Documentary,11/20/2019,86,6.7,English,Wednesday
